"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"03.3S","GO:0016236","macroautophagy","1/35","43/21869",0.0666175811068634,0.265388257483758,0.23309327341852,"AT4G29380",1
"03.3S","GO:0043622","cortical microtubule organization","1/35","46/21869",0.0711008833130016,0.265388257483758,0.23309327341852,"AT2G03680",1
"03.3S","GO:0009991","response to extracellular stimulus","2/35","276/21869",0.0719288135124628,0.265388257483758,0.23309327341852,"AT1G09340/AT1G53310",2
"03.3S","GO:0006099","tricarboxylic acid cycle","1/35","47/21869",0.0725906633196021,0.265388257483758,0.23309327341852,"AT1G53310",1
"03.3S","GO:0018198","peptidyl-cysteine modification","1/35","47/21869",0.0725906633196021,0.265388257483758,0.23309327341852,"AT1G09340",1
"03.3S","GO:0030433","ubiquitin-dependent ERAD pathway","1/35","49/21869",0.075563263340198,0.265388257483758,0.23309327341852,"AT3G16090",1
"03.3S","GO:0071470","cellular response to osmotic stress","1/35","51/21869",0.0785266067470053,0.265388257483758,0.23309327341852,"AT2G03680",1
"03.3S","GO:0044264","cellular polysaccharide metabolic process","2/35","301/21869",0.0835075524722738,0.265388257483758,0.23309327341852,"AT2G31390/AT2G14690",2
"03.3S","GO:0031122","cytoplasmic microtubule organization","1/35","55/21869",0.0844256355559235,0.265388257483758,0.23309327341852,"AT2G03680",1
"03.3S","GO:0051259","protein complex oligomerization","1/35","55/21869",0.0844256355559235,0.265388257483758,0.23309327341852,"AT1G53310",1
"03.3S","GO:0072665","protein localization to vacuole","1/35","56/21869",0.0858946509935112,0.265388257483758,0.23309327341852,"AT4G29380",1
"03.3S","GO:0072666","establishment of protein localization to vacuole","1/35","56/21869",0.0858946509935112,0.265388257483758,0.23309327341852,"AT4G29380",1
"03.3S","GO:0009767","photosynthetic electron transport chain","1/35","58/21869",0.088825816054306,0.265388257483758,0.23309327341852,"AT1G15980",1
"03.3S","GO:0006418","tRNA aminoacylation for protein translation","1/35","59/21869",0.0902879726009151,0.265388257483758,0.23309327341852,"AT5G10880",1
"03.3S","GO:0018208","peptidyl-proline modification","1/35","61/21869",0.0932054509969908,0.265388257483758,0.23309327341852,"AT4G32420",1
"03.3S","GO:0043038","amino acid activation","1/35","61/21869",0.0932054509969908,0.265388257483758,0.23309327341852,"AT5G10880",1
"03.3S","GO:0043039","tRNA aminoacylation","1/35","61/21869",0.0932054509969908,0.265388257483758,0.23309327341852,"AT5G10880",1
"03.3S","GO:0045491","xylan metabolic process","1/35","61/21869",0.0932054509969908,0.265388257483758,0.23309327341852,"AT2G14690",1
"03.3S","GO:0071229","cellular response to acid chemical","1/35","61/21869",0.0932054509969908,0.265388257483758,0.23309327341852,"AT1G09340",1
"03.3S","GO:0030865","cortical cytoskeleton organization","1/35","62/21869",0.0946607797394297,0.265388257483758,0.23309327341852,"AT2G03680",1
"03.3S","GO:0009846","pollen germination","1/35","69/21869",0.104784739475063,0.268813313607812,0.236101535921042,"AT4G29380",1
"03.3S","GO:0009555","pollen development","2/35","357/21869",0.111292136207056,0.268813313607812,0.236101535921042,"AT2G34920/AT4G29380",2
"03.3S","GO:0010628","positive regulation of gene expression","1/35","76/21869",0.114798687411872,0.269005879457671,0.236270668514616,"AT1G09340",1
"03.3S","GO:0051604","protein maturation","1/35","97/21869",0.144192007679624,0.302936109167857,0.266071943017024,"AT5G07120",1
"03.3S","GO:0140694","non-membrane-bounded organelle assembly","1/35","149/21869",0.212953798006431,0.343192481411755,0.301429534461548,"AT1G74060",1
"03.3S","GO:0007623","circadian rhythm","1/35","150/21869",0.214222058460841,0.343192481411755,0.301429534461548,"AT1G09340",1
"03.3S","GO:0048511","rhythmic process","1/35","150/21869",0.214222058460841,0.343192481411755,0.301429534461548,"AT1G09340",1
"03.3S","GO:0010243","response to organonitrogen compound","1/35","160/21869",0.22679596242677,0.349087902951008,0.306607544663641,"AT3G16090",1
"03.3S","GO:0009611","response to wounding","1/35","243/21869",0.323883271858809,0.404932299475079,0.355656260350221,"AT1G09340",1
"03.3S","GO:0009826","unidimensional cell growth","1/35","356/21869",0.437236267807447,0.492381120739423,0.432463471785883,"AT2G03680",1
"03.3T","GO:0010193","response to ozone","2/58","33/21869",0.00346223073115182,0.366182108507521,0.337979473510569,"AT4G23810/AT1G12480",2
"03.3T","GO:2000022","regulation of jasmonic acid mediated signaling pathway","2/58","42/21869",0.00556017867488734,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570",2
"03.3T","GO:0006334","nucleosome assembly","2/58","48/21869",0.00721068466676908,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0031497","chromatin assembly","2/58","53/21869",0.00873451021268478,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0006333","chromatin assembly or disassembly","2/58","62/21869",0.0118050818700451,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0034728","nucleosome organization","2/58","62/21869",0.0118050818700451,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0006323","DNA packaging","2/58","66/21869",0.0133005544935432,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0065004","protein-DNA complex assembly","2/58","92/21869",0.0248438069011061,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0006338","chromatin remodeling","2/58","97/21869",0.0274021315588103,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0009926","auxin polar transport","2/58","98/21869",0.0279260879912247,0.366182108507521,0.337979473510569,"AT5G55540/AT1G17140",2
"03.3T","GO:0006545","glycine biosynthetic process","1/58","11/21869",0.0287964091690986,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0015931","nucleobase-containing compound transport","2/58","105/21869",0.03170554773188,0.366182108507521,0.337979473510569,"AT5G56130/AT1G70330",2
"03.3T","GO:0009867","jasmonic acid mediated signaling pathway","2/58","107/21869",0.0328205977131718,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570",2
"03.3T","GO:0071824","protein-DNA complex subunit organization","2/58","109/21869",0.0339509462434079,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0010817","regulation of hormone levels","3/58","268/21869",0.0342671493660311,0.366182108507521,0.337979473510569,"AT3G63440/AT5G55540/AT1G17140",3
"03.3T","GO:0071103","DNA conformation change","2/58","110/21869",0.0345217988840344,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0071395","cellular response to jasmonic acid stimulus","2/58","111/21869",0.0350964060526159,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570",2
"03.3T","GO:0030104","water homeostasis","1/58","14/21869",0.0365075035237531,0.366182108507521,0.337979473510569,"AT1G12480",1
"03.3T","GO:0031347","regulation of defense response","3/58","275/21869",0.0365602229035599,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570/AT5G24660",3
"03.3T","GO:0071398","cellular response to fatty acid","2/58","115/21869",0.0374319178880509,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570",2
"03.3T","GO:0045893","positive regulation of transcription, DNA-templated","4/58","478/21869",0.0378982246031853,0.366182108507521,0.337979473510569,"AT4G23810/AT5G65310/AT3G63140/AT5G24660",4
"03.3T","GO:1902680","positive regulation of RNA biosynthetic process","4/58","480/21869",0.0383904718354656,0.366182108507521,0.337979473510569,"AT4G23810/AT5G65310/AT3G63140/AT5G24660",4
"03.3T","GO:1903508","positive regulation of nucleic acid-templated transcription","4/58","480/21869",0.0383904718354656,0.366182108507521,0.337979473510569,"AT4G23810/AT5G65310/AT3G63140/AT5G24660",4
"03.3T","GO:0010267","production of ta-siRNAs involved in RNA interference","1/58","15/21869",0.0390644728578012,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0010540","basipetal auxin transport","1/58","15/21869",0.0390644728578012,0.366182108507521,0.337979473510569,"AT5G55540",1
"03.3T","GO:0035999","tetrahydrofolate interconversion","1/58","15/21869",0.0390644728578012,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:1902456","regulation of stomatal opening","1/58","15/21869",0.0390644728578012,0.366182108507521,0.337979473510569,"AT1G12480",1
"03.3T","GO:0034410","cell wall beta-glucan biosynthetic process","1/58","16/21869",0.0416147730579592,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0052324","plant-type cell wall cellulose biosynthetic process","1/58","16/21869",0.0416147730579592,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0060918","auxin transport","2/58","123/21869",0.0422762016241704,0.366182108507521,0.337979473510569,"AT5G55540/AT1G17140",2
"03.3T","GO:0009914","hormone transport","2/58","126/21869",0.044150516465749,0.366182108507521,0.337979473510569,"AT5G55540/AT1G17140",2
"03.3T","GO:0009071","serine family amino acid catabolic process","1/58","17/21869",0.0441584212143967,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0010037","response to carbon dioxide","1/58","17/21869",0.0441584212143967,0.366182108507521,0.337979473510569,"AT1G12480",1
"03.3T","GO:0010215","cellulose microfibril organization","1/58","17/21869",0.0441584212143967,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0022900","electron transport chain","2/58","129/21869",0.0460553839231451,0.366182108507521,0.337979473510569,"AT2G27510/AT5G66190",2
"03.3T","GO:0006544","glycine metabolic process","1/58","18/21869",0.0466954343742711,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0016024","CDP-diacylglycerol biosynthetic process","1/58","18/21869",0.0466954343742711,0.366182108507521,0.337979473510569,"AT4G01950",1
"03.3T","GO:0046341","CDP-diacylglycerol metabolic process","1/58","18/21869",0.0466954343742711,0.366182108507521,0.337979473510569,"AT4G01950",1
"03.3T","GO:0051865","protein autoubiquitination","1/58","18/21869",0.0466954343742711,0.366182108507521,0.337979473510569,"AT5G59550",1
"03.3T","GO:0034406","cell wall beta-glucan metabolic process","1/58","19/21869",0.0492258295418281,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0052541","plant-type cell wall cellulose metabolic process","1/58","19/21869",0.0492258295418281,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:1990069","stomatal opening","1/58","19/21869",0.0492258295418281,0.366182108507521,0.337979473510569,"AT1G12480",1
"03.3T","GO:0070726","cell wall assembly","1/58","20/21869",0.0517496236785132,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0071668","plant-type cell wall assembly","1/58","20/21869",0.0517496236785132,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0016554","cytidine to uridine editing","1/58","22/21869",0.0567774764916698,0.366182108507521,0.337979473510569,"AT1G11430",1
"03.3T","GO:0032544","plastid translation","1/58","22/21869",0.0567774764916698,0.366182108507521,0.337979473510569,"AT3G63140",1
"03.3T","GO:0009966","regulation of signal transduction","3/58","334/21869",0.0589082484280557,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570/AT5G65310",3
"03.3T","GO:0030198","extracellular matrix organization","1/58","23/21869",0.059281568877969,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0043062","extracellular structure organization","1/58","23/21869",0.059281568877969,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0007623","circadian rhythm","2/58","150/21869",0.0601967281984538,0.366182108507521,0.337979473510569,"AT3G63140/AT4G37930",2
"03.3T","GO:0048511","rhythmic process","2/58","150/21869",0.0601967281984538,0.366182108507521,0.337979473510569,"AT3G63140/AT4G37930",2
"03.3T","GO:0023051","regulation of signaling","3/58","340/21869",0.0614737446973032,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570/AT5G65310",3
"03.3T","GO:0010143","cutin biosynthetic process","1/58","24/21869",0.0617791276532632,0.366182108507521,0.337979473510569,"AT4G01950",1
"03.3T","GO:0042147","retrograde transport, endosome to Golgi","1/58","24/21869",0.0617791276532632,0.366182108507521,0.337979473510569,"AT2G27900",1
"03.3T","GO:0045727","positive regulation of translation","1/58","24/21869",0.0617791276532632,0.366182108507521,0.337979473510569,"AT3G63140",1
"03.3T","GO:0010646","regulation of cell communication","3/58","344/21869",0.063212979461026,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570/AT5G65310",3
"03.3T","GO:1900865","chloroplast RNA modification","1/58","25/21869",0.0642701695665668,0.366182108507521,0.337979473510569,"AT1G11430",1
"03.3T","GO:0009956","radial pattern formation","1/58","26/21869",0.0667547113247218,0.366182108507521,0.337979473510569,"AT5G55540",1
"03.3T","GO:0034250","positive regulation of cellular amide metabolic process","1/58","26/21869",0.0667547113247218,0.366182108507521,0.337979473510569,"AT3G63140",1
"03.3T","GO:0009664","plant-type cell wall organization","2/58","161/21869",0.0681259203430804,0.366182108507521,0.337979473510569,"AT2G20650/AT5G15630",2
"03.3T","GO:0000302","response to reactive oxygen species","2/58","162/21869",0.0688632447026027,0.366182108507521,0.337979473510569,"AT4G23810/AT1G12480",2
"03.3T","GO:0006730","one-carbon metabolic process","1/58","27/21869",0.0692327695925044,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0016553","base conversion or substitution editing","1/58","27/21869",0.0692327695925044,0.366182108507521,0.337979473510569,"AT1G11430",1
"03.3T","GO:0098876","vesicle-mediated transport to the plasma membrane","1/58","29/21869",0.0741695021063381,0.366182108507521,0.337979473510569,"AT2G27900",1
"03.3T","GO:2000012","regulation of auxin polar transport","1/58","29/21869",0.0741695021063381,0.366182108507521,0.337979473510569,"AT1G17140",1
"03.3T","GO:0006563","L-serine metabolic process","1/58","30/21869",0.0766282094725397,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0046653","tetrahydrofolate metabolic process","1/58","30/21869",0.0766282094725397,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0098869","cellular oxidant detoxification","1/58","30/21869",0.0766282094725397,0.366182108507521,0.337979473510569,"AT5G24660",1
"03.3T","GO:0010305","leaf vascular tissue pattern formation","1/58","31/21869",0.0790804995888723,0.366182108507521,0.337979473510569,"AT5G55540",1
"03.3T","GO:0016482","cytosolic transport","1/58","31/21869",0.0790804995888723,0.366182108507521,0.337979473510569,"AT2G27900",1
"03.3T","GO:0009625","response to insect","1/58","33/21869",0.0839658938544612,0.366182108507521,0.337979473510569,"AT3G14210",1
"03.3T","GO:0010103","stomatal complex morphogenesis","1/58","33/21869",0.0839658938544612,0.366182108507521,0.337979473510569,"AT3G63440",1
"03.3T","GO:0006325","chromatin organization","2/58","183/21869",0.0849345147189856,0.366182108507521,0.337979473510569,"AT3G46030/AT5G22880",2
"03.3T","GO:0016145","S-glycoside catabolic process","1/58","35/21869",0.0888258160543057,0.366182108507521,0.337979473510569,"AT3G14210",1
"03.3T","GO:0019759","glycosinolate catabolic process","1/58","35/21869",0.0888258160543057,0.366182108507521,0.337979473510569,"AT3G14210",1
"03.3T","GO:0019762","glucosinolate catabolic process","1/58","35/21869",0.0888258160543057,0.366182108507521,0.337979473510569,"AT3G14210",1
"03.3T","GO:0090333","regulation of stomatal closure","1/58","35/21869",0.0888258160543057,0.366182108507521,0.337979473510569,"AT1G12480",1
"03.3T","GO:0006091","generation of precursor metabolites and energy","3/58","401/21869",0.0903951144265452,0.366182108507521,0.337979473510569,"AT2G29560/AT2G27510/AT5G66190",3
"03.3T","GO:0003333","amino acid transmembrane transport","1/58","37/21869",0.0936603966797261,0.366182108507521,0.337979473510569,"AT5G58970",1
"03.3T","GO:0006406","mRNA export from nucleus","1/58","37/21869",0.0936603966797261,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0006760","folic acid-containing compound metabolic process","1/58","37/21869",0.0936603966797261,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0071427","mRNA-containing ribonucleoprotein complex export from nucleus","1/58","37/21869",0.0936603966797261,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0080134","regulation of response to stress","3/58","408/21869",0.0940261572496868,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570/AT5G24660",3
"03.3T","GO:0048366","leaf development","3/58","410/21869",0.0950747029814254,0.366182108507521,0.337979473510569,"AT5G55540/AT4G23810/AT4G27950",3
"03.3T","GO:0051028","mRNA transport","1/58","38/21869",0.0960682245009324,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0009415","response to water","3/58","416/21869",0.0982495333878088,0.366182108507521,0.337979473510569,"AT3G48170/AT5G59550/AT1G12480",3
"03.3T","GO:0000413","protein peptidyl-prolyl isomerization","1/58","39/21869",0.0984697655654254,0.366182108507521,0.337979473510569,"AT2G21130",1
"03.3T","GO:0042558","pteridine-containing compound metabolic process","1/58","39/21869",0.0984697655654254,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0048278","vesicle docking","1/58","39/21869",0.0984697655654254,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:0009690","cytokinin metabolic process","1/58","40/21869",0.100865036000478,0.366182108507521,0.337979473510569,"AT3G63440",1
"03.3T","GO:0009825","multidimensional cell growth","1/58","40/21869",0.100865036000478,0.366182108507521,0.337979473510569,"AT5G55540",1
"03.3T","GO:0009753","response to jasmonic acid","2/58","204/21869",0.102015911669565,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570",2
"03.3T","GO:0010016","shoot system morphogenesis","2/58","205/21869",0.102851854728106,0.366182108507521,0.337979473510569,"AT3G63440/AT5G55540",2
"03.3T","GO:0070542","response to fatty acid","2/58","208/21869",0.105371179253372,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570",2
"03.3T","GO:0010043","response to zinc ion","1/58","43/21869",0.108013384192822,0.366182108507521,0.337979473510569,"AT2G01520",1
"03.3T","GO:0047484","regulation of response to osmotic stress","1/58","44/21869",0.110383732571674,0.366182108507521,0.337979473510569,"AT5G24660",1
"03.3T","GO:1990748","cellular detoxification","1/58","44/21869",0.110383732571674,0.366182108507521,0.337979473510569,"AT5G24660",1
"03.3T","GO:0009070","serine family amino acid biosynthetic process","1/58","45/21869",0.112747890349949,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0030422","production of siRNA involved in RNA interference","1/58","45/21869",0.112747890349949,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0097237","cellular response to toxic substance","1/58","45/21869",0.112747890349949,0.366182108507521,0.337979473510569,"AT5G24660",1
"03.3T","GO:0001101","response to acid chemical","3/58","448/21869",0.115892556198006,0.366182108507521,0.337979473510569,"AT3G48170/AT5G59550/AT1G12480",3
"03.3T","GO:0009853","photorespiration","1/58","47/21869",0.117457697604621,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0006979","response to oxidative stress","3/58","451/21869",0.117605343274923,0.366182108507521,0.337979473510569,"AT4G23810/AT1G12480/AT4G21960",3
"03.3T","GO:0015979","photosynthesis","2/58","225/21869",0.119954828444769,0.366182108507521,0.337979473510569,"AT3G56650/AT5G66190",2
"03.3T","GO:0006405","RNA export from nucleus","1/58","49/21869",0.122142932556796,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0006906","vesicle fusion","1/58","49/21869",0.122142932556796,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:0044273","sulfur compound catabolic process","1/58","49/21869",0.122142932556796,0.366182108507521,0.337979473510569,"AT3G14210",1
"03.3T","GO:0022406","membrane docking","1/58","51/21869",0.126803721169043,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:0140056","organelle localization by membrane tethering","1/58","51/21869",0.126803721169043,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:0050657","nucleic acid transport","1/58","53/21869",0.131440188769694,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0050658","RNA transport","1/58","53/21869",0.131440188769694,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0051236","establishment of RNA localization","1/58","53/21869",0.131440188769694,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0090174","organelle membrane fusion","1/58","53/21869",0.131440188769694,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:0090332","stomatal closure","1/58","53/21869",0.131440188769694,0.366182108507521,0.337979473510569,"AT1G12480",1
"03.3T","GO:1901658","glycosyl compound catabolic process","1/58","53/21869",0.131440188769694,0.366182108507521,0.337979473510569,"AT3G14210",1
"03.3T","GO:0071396","cellular response to lipid","3/58","476/21869",0.132244361229941,0.366182108507521,0.337979473510569,"AT4G23810/AT4G32570/AT5G65310",3
"03.3T","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","1/58","54/21869",0.133749341183122,0.366182108507521,0.337979473510569,"AT5G61650",1
"03.3T","GO:0006096","glycolytic process","1/58","54/21869",0.133749341183122,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0006757","ATP generation from ADP","1/58","54/21869",0.133749341183122,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0006865","amino acid transport","1/58","54/21869",0.133749341183122,0.366182108507521,0.337979473510569,"AT5G58970",1
"03.3T","GO:0016246","RNA interference","1/58","54/21869",0.133749341183122,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:1904029","regulation of cyclin-dependent protein kinase activity","1/58","54/21869",0.133749341183122,0.366182108507521,0.337979473510569,"AT5G61650",1
"03.3T","GO:0009658","chloroplast organization","2/58","243/21869",0.135907470298976,0.366182108507521,0.337979473510569,"AT3G63140/AT5G24660",2
"03.3T","GO:0009135","purine nucleoside diphosphate metabolic process","1/58","56/21869",0.138349560877321,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0009179","purine ribonucleoside diphosphate metabolic process","1/58","56/21869",0.138349560877321,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0046031","ADP metabolic process","1/58","56/21869",0.138349560877321,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0034754","cellular hormone metabolic process","1/58","57/21869",0.14064065909715,0.366182108507521,0.337979473510569,"AT3G63440",1
"03.3T","GO:0009767","photosynthetic electron transport chain","1/58","58/21869",0.142925770126508,0.366182108507521,0.337979473510569,"AT5G66190",1
"03.3T","GO:0071166","ribonucleoprotein complex localization","1/58","58/21869",0.142925770126508,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0071426","ribonucleoprotein complex export from nucleus","1/58","58/21869",0.142925770126508,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:1905039","carboxylic acid transmembrane transport","1/58","58/21869",0.142925770126508,0.366182108507521,0.337979473510569,"AT5G58970",1
"03.3T","GO:0071900","regulation of protein serine/threonine kinase activity","1/58","59/21869",0.145204909337579,0.366182108507521,0.337979473510569,"AT5G61650",1
"03.3T","GO:1901264","carbohydrate derivative transport","1/58","59/21869",0.145204909337579,0.366182108507521,0.337979473510569,"AT1G70330",1
"03.3T","GO:0006887","exocytosis","1/58","60/21869",0.147478092063779,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:0009069","serine family amino acid metabolic process","1/58","60/21869",0.147478092063779,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:1903825","organic acid transmembrane transport","1/58","60/21869",0.147478092063779,0.366182108507521,0.337979473510569,"AT5G58970",1
"03.3T","GO:0009185","ribonucleoside diphosphate metabolic process","1/58","61/21869",0.149745333599855,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0018208","peptidyl-proline modification","1/58","61/21869",0.149745333599855,0.366182108507521,0.337979473510569,"AT2G21130",1
"03.3T","GO:0010608","posttranscriptional regulation of gene expression","2/58","259/21869",0.150464896582726,0.366182108507521,0.337979473510569,"AT5G56130/AT3G63140",2
"03.3T","GO:0006165","nucleoside diphosphate phosphorylation","1/58","62/21869",0.152006649201984,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0006403","RNA localization","1/58","63/21869",0.154262054087859,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0009626","plant-type hypersensitive response","1/58","65/21869",0.158755192389818,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0009827","plant-type cell wall modification","1/58","65/21869",0.158755192389818,0.366182108507521,0.337979473510569,"AT2G20650",1
"03.3T","GO:0030244","cellulose biosynthetic process","1/58","65/21869",0.158755192389818,0.366182108507521,0.337979473510569,"AT5G15630",1
"03.3T","GO:0031050","dsRNA processing","1/58","66/21869",0.160992956049761,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0034050","programmed cell death induced by symbiont","1/58","66/21869",0.160992956049761,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0046939","nucleotide phosphorylation","1/58","66/21869",0.160992956049761,0.366182108507521,0.337979473510569,"AT2G29560",1
"03.3T","GO:0070918","production of small RNA involved in gene silencing by RNA","1/58","66/21869",0.160992956049761,0.366182108507521,0.337979473510569,"AT5G56130",1
"03.3T","GO:0010374","stomatal complex development","1/58","67/21869",0.163224869481358,0.366182108507521,0.337979473510569,"AT3G63440",1
"03.3T","GO:0051702","biological process involved in interaction with symbiont","1/58","67/21869",0.163224869481358,0.366182108507521,0.337979473510569,"AT4G37930",1
"03.3T","GO:0061025","membrane fusion","1/58","67/21869",0.163224869481358,0.366182108507521,0.337979473510569,"AT1G08560",1
"03.3T","GO:1990542","mitochondrial transmembrane transport","1/58","67/21869",0.163224869481358,0.366182108507521,0.337979473510569,"AT5G58970",1
"03.3T","GO:0031503","protein-containing complex localization","1/58","69/21869",0.16767120572853,0.371271955541745,0.342677310408957,"AT5G56130",1
"03.3T","GO:0006767","water-soluble vitamin metabolic process","1/58","75/21869",0.180871363983979,0.376027061979177,0.347066187781368,"AT4G37930",1
"03.3T","GO:0046034","ATP metabolic process","1/58","148/21869",0.325894898982723,0.479009312728916,0.442116945534638,"AT2G29560",1
"03.3T","GO:0012501","programmed cell death","1/58","151/21869",0.331280780647159,0.480709558300771,0.443686241493843,"AT4G37930",1
"03.3T","GO:0009267","cellular response to starvation","1/58","167/21869",0.35929907276379,0.492419532510685,0.45449433622687,"AT5G24660",1
"03.3T","GO:0006873","cellular ion homeostasis","1/58","175/21869",0.372872306158583,0.495333723843031,0.457184082201162,"AT1G12480",1
"03.3V","GO:0000911","cytokinesis by cell plate formation","3/72","68/21869",0.00147100739921309,0.294031400325692,0.261434414175364,"AT5G55230/AT3G50960/AT4G39920",3
"03.3V","GO:0046889","positive regulation of lipid biosynthetic process","2/72","26/21869",0.00330087041146969,0.294031400325692,0.261434414175364,"AT1G16060/AT5G61780",2
"03.3V","GO:0062013","positive regulation of small molecule metabolic process","2/72","27/21869",0.00355737493927915,0.294031400325692,0.261434414175364,"AT1G16060/AT5G61780",2
"03.3V","GO:0006457","protein folding","4/72","195/21869",0.00393164871646371,0.294031400325692,0.261434414175364,"AT2G16600/AT3G17880/AT3G50960/AT4G39920",4
"03.3V","GO:0045834","positive regulation of lipid metabolic process","2/72","29/21869",0.00409735921670943,0.294031400325692,0.261434414175364,"AT1G16060/AT5G61780",2
"03.3V","GO:0051128","regulation of cellular component organization","5/72","328/21869",0.00453517163443434,0.294031400325692,0.261434414175364,"AT5G55230/AT5G05190/AT5G06310/AT1G69380/AT4G35860",5
"03.3V","GO:0060627","regulation of vesicle-mediated transport","2/72","32/21869",0.00497387146716506,0.294031400325692,0.261434414175364,"AT5G05190/AT4G35860",2
"03.3V","GO:0000910","cytokinesis","3/72","112/21869",0.00603445498200572,0.294031400325692,0.261434414175364,"AT5G55230/AT3G50960/AT4G39920",3
